trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
343,False,"{'a': 0.6569999999999997, 'e': 0.031832573239207955}",20,16,7.009812027505608,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.6559999999999997, 'e': 0.031514247506815876}",20,3,28.48507673647113,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.6549999999999997, 'e': 0.031199105031747717}",20,10,19.423047470637453,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.6539999999999997, 'e': 0.03088711398143024}",20,16,5.9310215930053,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.6529999999999997, 'e': 0.030578242841615935}",25,11,26.839205457498036,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.6519999999999997, 'e': 0.030272460413199778}",20,11,14.284136514538831,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.6509999999999997, 'e': 0.02996973580906778}",20,11,16.99214231152636,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.6499999999999997, 'e': 0.0296700384509771}",20,16,6.806683332349849,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.6489999999999997, 'e': 0.02937333806646733}",20,0,26.585195673157443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
352,False,"{'a': 0.6479999999999997, 'e': 0.029079604685802656}",20,13,14.688332169248094,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.6469999999999997, 'e': 0.02878880863894463}",25,8,30.3748485516752,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.6459999999999997, 'e': 0.02850092055255518}",20,2,32.51780504177698,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.6449999999999997, 'e': 0.02821591134702963}",25,16,20.252550990583295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.6439999999999997, 'e': 0.027933752233559334}",20,8,20.1132875767865,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.6429999999999997, 'e': 0.027654414711223742}",25,16,18.107425889246855,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.6419999999999997, 'e': 0.027377870564111503}",25,15,18.654200041812157,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.6409999999999997, 'e': 0.027104091858470385}",25,16,17.954431845031415,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.6399999999999997, 'e': 0.026833050939885684}",20,6,27.494489815454457,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.6389999999999997, 'e': 0.026564720430486827}",20,6,28.28559630837629,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.6379999999999997, 'e': 0.026299073226181958}",25,13,22.230193083464904,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.6369999999999997, 'e': 0.026036082493920136}",30,3,43.97538501754216,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.6359999999999997, 'e': 0.025775721668980935}",25,8,25.74297741547512,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.6349999999999997, 'e': 0.025517964452291125}",25,0,37.55819421637158,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
366,False,"{'a': 0.6339999999999997, 'e': 0.025262784807768213}",25,2,31.806618653023737,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.6329999999999997, 'e': 0.025010156959690534}",30,18,22.041520695270865,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.6319999999999997, 'e': 0.024760055390093627}",20,13,11.931967266865936,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.6309999999999997, 'e': 0.02451245483619269}",25,11,26.969652641461508,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
