trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,True,"{'a': 0.3, 'e': -3.9999999999999942}",25,17,13.174830255902028,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0.3, 'e': -4.0499999999999945}",20,0,23.442018660918635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,True,"{'a': 0.3, 'e': -4.099999999999994}",20,16,9.030445525068261,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0.3, 'e': -4.149999999999994}",20,0,30.913862050110186,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,True,"{'a': 0.3, 'e': -4.199999999999994}",20,0,21.28850737819485,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,True,"{'a': 0.3, 'e': -4.249999999999994}",25,0,-7.162466837876892,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
86,True,"{'a': 0.3, 'e': -4.299999999999994}",25,16,18.712366252137322,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0.3, 'e': -4.349999999999993}",20,0,25.032705162648423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,True,"{'a': 0.3, 'e': -4.399999999999993}",30,3,27.677274867764215,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,True,"{'a': 0.3, 'e': -4.449999999999993}",30,0,22.362344745001785,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
90,True,"{'a': 0.3, 'e': -4.499999999999993}",20,0,-64.06290696105894,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
91,True,"{'a': 0.3, 'e': -4.549999999999993}",20,0,-19.80279310983587,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
92,True,"{'a': 0.3, 'e': -4.5999999999999925}",30,18,21.44643263920286,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0.3, 'e': -4.649999999999992}",20,6,21.56040752609467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0.3, 'e': -4.699999999999992}",30,0,40.25699386195534,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,True,"{'a': 0.3, 'e': -4.749999999999992}",20,0,25.250334737973333,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,True,"{'a': 0.3, 'e': -4.799999999999992}",20,0,23.450988628915876,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,True,"{'a': 0.3, 'e': -4.849999999999992}",30,0,-10.725613277958201,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
98,True,"{'a': 0.3, 'e': -4.8999999999999915}",25,0,33.4799057285715,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,True,"{'a': 0.3, 'e': -4.949999999999991}",20,0,14.130772673697974,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
100,True,"{'a': 0.3, 'e': -4.999999999999991}",20,0,23.604945055628743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
